train_number,lags
102,6
103,6
105,4
110,4
115,5
118,4
119,8
12,4
131,3
141,3
151,4
153,4
155,4
161,4
165,3
176,3
177,4
185,4
188,3
198,4
200,1
204,4
205,4
209,4
21,4
211,4
212,1
217,2
218,4
227,4
23,4
242,1
246,1
251,1
256,1
272,3
287,3
29,4
290,3
294,2
297,6
300,4
301,8
306,3
310,4
314,5
321,3
325,2
335,2
338,2
348,7
352,3
354,2
361,2
367,3
370,6
383,2
386,4
39,4
391,3
397,3
401,4
42,2
421,2
428,3
429,3
43,4
430,5
435,4
437,4
439,1
440,3
446,3
447,3
451,5
453,3
461,5
462,5
465,3
469,3
482,2
483,3
490,1
491,4
495,2
498,2
499,6
505,4
506,6
507,1
66,6
74,3
75,6
79,6
9,2
92,4
